loss,f1_score,val_loss,val_f1_score
1.5714186429977417,0.6565778851509094,1.249760627746582,0.4048551917076111
0.5955823659896851,0.7302582859992981,0.5359168648719788,0.7061307430267334
0.4873047173023224,0.75726717710495,0.39652514457702637,0.7989180684089661
0.43723583221435547,0.7805589437484741,0.3778557777404785,0.8121955394744873
0.4075290560722351,0.7993056178092957,0.4188351631164551,0.780687153339386
0.3911844491958618,0.8089122176170349,0.3646024167537689,0.8253721594810486
0.3809460401535034,0.8133285045623779,0.3676033020019531,0.8194923400878906
0.3759010434150696,0.814124584197998,0.3454018533229828,0.8453223705291748
0.3668874204158783,0.8180752992630005,0.36972030997276306,0.815613329410553
0.35369277000427246,0.8281351923942566,0.3603655993938446,0.8334333300590515
0.3550473153591156,0.8335164785385132,0.4001118838787079,0.805525004863739
0.346465528011322,0.8297312259674072,0.3456558287143707,0.8407179117202759
0.3404395878314972,0.8345828652381897,0.3346829116344452,0.841124951839447
0.34489843249320984,0.832435667514801,0.329354852437973,0.8418297171592712
0.3395345211029053,0.8322674632072449,0.32572034001350403,0.8516690731048584
0.33523645997047424,0.8386170864105225,0.33596324920654297,0.8425494432449341
0.3374863564968109,0.8382955193519592,0.32429561018943787,0.8523073196411133
0.3309646248817444,0.8396444916725159,0.3166324198246002,0.8465454578399658
0.33000266551971436,0.8422914743423462,0.3341929316520691,0.8342422246932983
0.32416248321533203,0.8411769866943359,0.36457133293151855,0.8306843638420105
0.33150601387023926,0.8418206572532654,0.3167215585708618,0.8592197895050049
0.3239792585372925,0.8418616652488708,0.32659387588500977,0.8415660858154297
0.3215593099594116,0.8465098738670349,0.3214041292667389,0.8489494323730469
0.3219296336174011,0.8478417992591858,0.31767338514328003,0.8553467392921448
0.3198557496070862,0.849518358707428,0.3225732743740082,0.8553138971328735
0.32266947627067566,0.8473624587059021,0.3118961751461029,0.8528587818145752
0.3175230324268341,0.8471882939338684,0.3352201581001282,0.8335227370262146
0.31767210364341736,0.8477149605751038,0.3142291009426117,0.8436018824577332
0.3193618059158325,0.8432749509811401,0.31591328978538513,0.8539175391197205
0.3208712935447693,0.846868097782135,0.31495681405067444,0.8519012928009033
0.3119804263114929,0.8527906537055969,0.30460256338119507,0.8608497381210327
0.3216169476509094,0.8469190001487732,0.32370132207870483,0.8395761847496033
0.31382808089256287,0.850718080997467,0.33424410223960876,0.8452423810958862
0.31121906638145447,0.8501377105712891,0.3161191940307617,0.850460410118103
0.30940431356430054,0.8527993559837341,0.3001959025859833,0.8635826110839844
0.311163991689682,0.8513404130935669,0.3187550902366638,0.8510457873344421
0.3154970109462738,0.8513930439949036,0.30320218205451965,0.8580731153488159
0.3067326545715332,0.8531658053398132,0.3101605772972107,0.857194185256958
0.30802643299102783,0.8518422245979309,0.303727924823761,0.8567699193954468
0.3076907992362976,0.853952944278717,0.3019488751888275,0.8536964654922485
0.3096742033958435,0.852561891078949,0.3090536892414093,0.856063961982727
0.3047521114349365,0.8566499948501587,0.3135684132575989,0.8493340611457825
0.30992692708969116,0.8522042036056519,0.31093642115592957,0.8500251770019531
0.3050313889980316,0.8538435101509094,0.30068671703338623,0.8657086491584778
0.306662380695343,0.8570707440376282,0.3162166476249695,0.8560839891433716
0.3140139877796173,0.8498572707176208,0.3018682301044464,0.8659444451332092
0.2981007397174835,0.8597757816314697,0.29957497119903564,0.8671895861625671
0.3064892590045929,0.8526051044464111,0.3054577708244324,0.856739342212677
0.30432504415512085,0.8532561659812927,0.30953332781791687,0.858241081237793
0.2996295690536499,0.8624741435050964,0.29964548349380493,0.8631411790847778
