loss,accuracy,f1_score,roc_auc,average_precision,val_loss,val_accuracy,val_f1_score,val_roc_auc,val_average_precision,lr
1.2680847644805908,0.6463223695755005,0.6273589730262756,0.6924846172332764,0.6651528477668762,0.6387492418289185,0.7760609984397888,0.719078540802002,0.7952092885971069,0.7936109304428101,0.00072
0.6022204756736755,0.7257433533668518,0.7085350751876831,0.7918287515640259,0.7941938638687134,0.49841058254241943,0.7551339864730835,0.7382565140724182,0.8569483160972595,0.8350511193275452,0.00072
0.5143147110939026,0.758542001247406,0.7399695515632629,0.817793607711792,0.8311906456947327,0.46647700667381287,0.797183632850647,0.7426469922065735,0.8355417251586914,0.8543476462364197,0.00072
0.47757020592689514,0.7776473760604858,0.7560391426086426,0.8337644934654236,0.8552392721176147,0.4065250754356384,0.8353217244148254,0.8053971529006958,0.8579920530319214,0.8952986598014832,0.00072
0.44841715693473816,0.8015779852867126,0.7808858156204224,0.8503215909004211,0.873988151550293,0.41181525588035583,0.8278896808624268,0.7955886721611023,0.8642654418945312,0.8933653831481934,0.00072
0.43300822377204895,0.8097939491271973,0.7879623770713806,0.8577930927276611,0.8842695951461792,0.37912702560424805,0.8427537679672241,0.8219791650772095,0.879741907119751,0.9114651083946228,0.00065148296
0.4140913188457489,0.8225743174552917,0.8022129535675049,0.8718405365943909,0.8960676193237305,0.40443581342697144,0.8343438506126404,0.8076068162918091,0.8736646175384521,0.9015806317329407,0.00058948615
0.40510958433151245,0.8277255892753601,0.8076563477516174,0.8769240975379944,0.9011446237564087,0.3697787821292877,0.8482300043106079,0.8298819661140442,0.8946149349212646,0.9195807576179504,0.00053338916
0.4000723361968994,0.831637978553772,0.8119987845420837,0.8794723749160767,0.904482364654541,0.42391765117645264,0.8059847354888916,0.7915105223655701,0.8873845934867859,0.8861473202705383,0.00048263048
0.3960458040237427,0.8347026705741882,0.8143119215965271,0.8831945657730103,0.9060576558113098,0.3523997664451599,0.8642675280570984,0.8405827283859253,0.8849704265594482,0.9193382263183594,0.00043670213
0.38645175099372864,0.8391366600990295,0.8193640112876892,0.8875225782394409,0.9119316339492798,0.3366835415363312,0.8656365871429443,0.8473948240280151,0.8979524374008179,0.9273079633712769,0.00039514442
0.3840973377227783,0.8391366600990295,0.8185616731643677,0.8890857696533203,0.9129639863967896,0.40213972330093384,0.822609007358551,0.8059840202331543,0.8923070430755615,0.8997530937194824,0.00035754146
0.37889403104782104,0.8451356291770935,0.82608562707901,0.8900097012519836,0.9157497882843018,0.3417442739009857,0.8642675280570984,0.8439700603485107,0.8928856253623962,0.9248683452606201,0.0003235169
0.37223660945892334,0.8476134538650513,0.8280154466629028,0.8956199884414673,0.9186546802520752,0.3954210579395294,0.8288676142692566,0.8138906359672546,0.8935040235519409,0.9021915197372437,0.0002927302
0.3706674873828888,0.8513954281806946,0.8326293230056763,0.895624041557312,0.9197252988815308,0.34012407064437866,0.8687658905982971,0.8486865758895874,0.8930554389953613,0.9254636168479919,0.00026487323
0.3706558346748352,0.8469613790512085,0.8264575004577637,0.895973801612854,0.9191977977752686,0.3385939300060272,0.8636808395385742,0.8456631302833557,0.9030380845069885,0.9287118315696716,0.00023966722
