loss,f1_score,val_loss,val_f1_score
2.128170967102051,0.6523964405059814,2.673539400100708,0.39262038469314575
1.0259541273117065,0.6972410678863525,0.6221984624862671,0.6987790465354919
0.7401372194290161,0.7249147295951843,0.6133226156234741,0.7662392854690552
0.6468456387519836,0.7301464676856995,0.4835403859615326,0.7610472440719604
0.5613473653793335,0.7401434779167175,0.4778917729854584,0.7521758079528809
0.4902232587337494,0.7683298587799072,0.5653596520423889,0.6839796900749207
0.4576202929019928,0.7797172665596008,0.4223048686981201,0.785911500453949
0.4389049708843231,0.7903438210487366,0.3942260146141052,0.8278285264968872
0.4315997064113617,0.7902586460113525,0.37964168190956116,0.8244006633758545
0.41409075260162354,0.7944284081459045,0.4424952268600464,0.783589243888855
0.4031960666179657,0.8009116053581238,0.39333662390708923,0.8180271983146667
0.3906714916229248,0.8089158535003662,0.39217013120651245,0.8053020238876343
0.39668071269989014,0.8006165623664856,0.38892918825149536,0.8248953223228455
0.3858495354652405,0.8070496916770935,0.36531862616539,0.8232041597366333
0.3784216046333313,0.8143370151519775,0.35419121384620667,0.8308214545249939
0.37963229417800903,0.8130039572715759,0.3689889907836914,0.8279451131820679
0.3735184669494629,0.8196361660957336,0.3598712682723999,0.832192063331604
0.38326936960220337,0.8095247149467468,0.35851651430130005,0.8375791311264038
0.36286577582359314,0.8288524746894836,0.3505873680114746,0.827181339263916
0.3751052916049957,0.817211925983429,0.3997371196746826,0.8048927783966064
0.35951825976371765,0.8279887437820435,0.38046994805336,0.8262189626693726
0.3689197897911072,0.8189119100570679,0.35607224702835083,0.818221390247345
0.35944491624832153,0.820635199546814,0.3621706962585449,0.8285427093505859
0.35924625396728516,0.8211303949356079,0.37189483642578125,0.8077242970466614
0.3513866066932678,0.8292298316955566,0.3446080982685089,0.8450844287872314
0.3553951382637024,0.8300430774688721,0.33102354407310486,0.8506298661231995
0.356472909450531,0.8254806399345398,0.40117451548576355,0.8116483092308044
0.352277547121048,0.831252932548523,0.33524343371391296,0.8393539786338806
0.3502112627029419,0.8295890688896179,0.3598530888557434,0.828165590763092
0.34306541085243225,0.8375886082649231,0.3265545964241028,0.8500177264213562
0.3478527069091797,0.836955726146698,0.36441510915756226,0.8202555179595947
0.3484868109226227,0.8390325903892517,0.3290061354637146,0.8469865918159485
0.33652782440185547,0.8344199061393738,0.3463817536830902,0.8484460115432739
0.3460490107536316,0.8307040333747864,0.33686965703964233,0.8403536081314087
0.33521491289138794,0.840691328048706,0.35000354051589966,0.8326894044876099
0.3413604497909546,0.8343976736068726,0.3344269394874573,0.8465704917907715
0.32848671078681946,0.8449816703796387,0.3276245594024658,0.8387226462364197
0.3464788496494293,0.8339901566505432,0.339063435792923,0.8480972051620483
0.32712143659591675,0.8448591232299805,0.33395448327064514,0.8463819026947021
0.33679017424583435,0.8392273783683777,0.3544725179672241,0.8379761576652527
0.3279256522655487,0.8400938510894775,0.32228654623031616,0.8584845066070557
0.33217522501945496,0.8387627005577087,0.3200470805168152,0.8474628925323486
0.3283088207244873,0.841272234916687,0.4021044373512268,0.8255913257598877
0.33906105160713196,0.8375683426856995,0.317546010017395,0.85868901014328
0.3201694190502167,0.847250759601593,0.3186876177787781,0.8503962755203247
0.3237729072570801,0.8481535315513611,0.32813695073127747,0.8466829061508179
0.33405646681785583,0.840675413608551,0.3113982677459717,0.8627790212631226
0.32506826519966125,0.8450278639793396,0.3536795377731323,0.8438510894775391
0.3317722678184509,0.8386629819869995,0.31015530228614807,0.85833740234375
0.3231750428676605,0.8448488116264343,0.3313502073287964,0.8488091826438904
