loss,accuracy,f1_score,roc_auc,average_precision,val_loss,val_accuracy,val_f1_score,val_roc_auc,val_average_precision,lr
1.1622717380523682,0.7014867067337036,0.6599595546722412,0.7539823651313782,0.7455949187278748,0.6226112246513367,0.7633483409881592,0.7430714964866638,0.8197544813156128,0.8135078549385071,0.00072
0.574225127696991,0.7632368206977844,0.7310425043106079,0.808351993560791,0.8162745833396912,0.5015757083892822,0.8018775582313538,0.769993245601654,0.8480876088142395,0.8670606017112732,0.00072
0.5138950943946838,0.7796687483787537,0.7508140802383423,0.8251950144767761,0.842244029045105,0.4527394771575928,0.8147858381271362,0.7817368507385254,0.8576862812042236,0.8797332644462585,0.00072
0.48421233892440796,0.7936880588531494,0.76483553647995,0.8406539559364319,0.863706111907959,0.47777125239372253,0.7701936364173889,0.7569246888160706,0.8740336298942566,0.8641451597213745,0.00072
0.44058939814567566,0.8197704553604126,0.7943260669708252,0.8642479181289673,0.8916620016098022,0.397494912147522,0.8413847088813782,0.8111040592193604,0.8850504159927368,0.9156209230422974,0.00072
0.42250698804855347,0.8285080790519714,0.8029950261116028,0.8720543384552002,0.901823103427887,0.3913991153240204,0.8335615396499634,0.7944352030754089,0.891663670539856,0.9136507511138916,0.00065148296
0.40505361557006836,0.8392018675804138,0.8154520392417908,0.880846381187439,0.9107291102409363,0.3528773784637451,0.8627029061317444,0.8397859334945679,0.9085782766342163,0.9342800974845886,0.00058948615
0.3957304358482361,0.8437662720680237,0.8213094472885132,0.8856294751167297,0.9151566028594971,0.36338526010513306,0.8499902486801147,0.8293523788452148,0.9034318923950195,0.9271771311759949,0.00053338916
0.3887344300746918,0.8504825234413147,0.828827977180481,0.8902566432952881,0.9175106287002563,0.3557852804660797,0.8560531735420227,0.8307774662971497,0.9048280715942383,0.9279493689537048,0.00048263048
0.38325443863868713,0.851721465587616,0.8302183747291565,0.89192795753479,0.9202057123184204,0.34561240673065186,0.869157075881958,0.8469090461730957,0.9085559844970703,0.9313998818397522,0.00043670213
